Gear_name,Gear_code,Multiplier_to_be_applied_to_activity
Mollusc_dredge,MD,1
Harpoons,HARP,1
Kelp_harvester,KH,1
Longlines+Gillnets,LLGN,1
Pelagic_Seiners_FOREIGN,PSF,1
Pelagic_Seiners_NORW,PSN,1
Pelagic_trawlers_FOREIGN,PTF,1
Pelagic_trawlers_NORW,PTN,1
Creels,CR,1
Recreational,REC,1
Shelf_Trawlers,ST,1
NA,NA,1
