Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source,
NA,NA,0,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos,Azores,2010-2019,No data available,
1.315361037,0.657680519,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_susp/dep_feeding_benthos,Azores,2002-2009,Morato et al. 2016 Susp/ dep_feeding_benthos incorporate benthic filter feeders and benthic worms - weighted average P/B from each guild,
2.418811888,1.209405944,1,Obs_benc_pb,/y,Annual_gross_PB_ratio_carn/scav_feeding_benthos,Azores,2002-2009,Morato et al. 2016 Carn/scav benthos incorporate crabs cephalopods and shrimp - weighted average P/B from each guild,
11.21,5.605,1,Obs_omni_pb,/y,Annual_gross_PB_ratio_omniv_zooplankton,Azores,2009,Morato et al. 2009 PB ratio estimated by previous Ecopath with Ecosim model - reference year 2009,
4.78,2.39,1,Obs_carn_pb,/y,Annual_gross_PB_ratio_carniv_zooplankton,Azores,2009,Morato et al. 2009,
NA,NA,0,Obs_fishplar_pb,/y,Annual_gross_PB_ratio_larvae_of_planktivorous_fish,Azores,2010-2019,No data available,
NA,NA,0,Obs_fishdlar_pb,/y,Annual_gross_PB_ratio_larvae_of_demersal_fish,Azores,2010-2019,No data available,
2.676459378,1.338229689,1,Obs_fishp_pb,/y,Annual_gross_PB_ratio_planktivorous_fish,Azores,2010,Morato et al. 2016 Planktivorous fish include small/medium/large size pelagic fish mesopelagic and bathypelagic - weighted average P/B from each guild,
0.570513223,0.285256612,1,Obs_fishd_pb,/y,Annual_gross_PB_ratio_demersal_fish,Azores,2010,Morato et al. 2016 demersal fish include small/medium/large size fish mesopelagic and bathypelagic - weighted average P/B from each guild,
0.327824511,0.163912256,1,Obs_fishm_pb,/y,Annual_gross_PB_ratio_migratory_fish,Azores,1997,Morato et al. 2016 Migratory fish include tuna and pelagic sharks - weighted average P/B from each guild,
0.25,0.125,1,Obs_bird_pb,/y,Annual_net_PB_ratio_birds,Azores,2001,Morato et al. 2016 Birds include seabird guild,
0,,0,Obs_seal_pb,/y,Annual_net_PB_ratio_pinnipeds,Azores,2010-2019,No pinnipeds in the Azores,
0.032503177,0.016251589,1,Obs_ceta_pb,/y,Annual_net_PB_ratio_cetaceans,Azores,2001-2009,Morato et al. 2016 Cetaceans incorporate dolphins baleen whales and toothed whales from Ecopath model- weighted average P/B from each guild,
NA,NA,0,Obs_exud_C_kelp,dimensionless,Annual_average_proportion_of_macrophyte_C_uptake_which_is_exuded,Azores,2010-2019,No data available,
NA,NA,0,Obs_kelp_NC,dimensionless,Annual_average_molar_NC_ratio_of_macrophytes,Azores,2010-2019,No data available,
NA,NA,0,Obs_Denitrif,mMN/m2/y,Annual_denitrification,Azores,2010-2019,No data available,
