"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0440668631089606,1.97677539279177e-08,0.00934886265873065,17.6121371543766,NA,3.33971203875037e-08,NA,0.0466439003140815
"phyt_s",NA,NA,11.0925875838818,1.61375297475572,NA,0.0275665085757504,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0739069657386248,NA,NA
"omnivzoo",NA,NA,1.44428171871274,2.71039422672379,NA,2.93354231175008e-05,NA,NA
"carnzoo",NA,NA,0.0768514530902094,0.832119790917312,NA,0.00018494495848886,NA,0.00377975052061165
"fishplar",NA,NA,0.695374911309542,4.86536616884226,NA,3.47057270046695e-06,NA,NA
"fishdlar",NA,NA,0.094811868107724,5.31183355757649,NA,6.39174648455495e-07,NA,NA
"fishp",NA,NA,0.00999266209182615,2.26020604814474,NA,8.83578232884314e-05,0.0015426385996878,0.810452974063762
"fishm",NA,NA,0.0522873857544731,3.28251692363038,NA,2.06662625729262e-05,3.09769721158392e-05,0.731325829123347
"fishd",NA,NA,0.0210894025997884,0.469624822233204,NA,1.41957471831863e-05,0.00261311373086111,0.983031775280663
"benthslar",NA,NA,0.194916914223118,1.56888968554944,NA,1.10704629004781e-05,NA,NA
"benthclar",NA,NA,0.643010554827733,2.56512434059662,NA,2.95739896454005e-07,NA,NA
"benths",NA,NA,0.238003106997747,3.16382991470726,NA,0.000277258566927517,NA,0.0265830493606016
"benthc",NA,NA,0.030453628931519,11.6644817603559,NA,0.00045394940730024,NA,0.160884099762053
"bird",NA,NA,5.6,1.231205159,13062.14877,0.035,0.00996981483874192,0.104490001363605
"seal",NA,NA,2.216740835,1.590635636,3523.263319,0.004777519,0.00919370562318511,0.108550831364103
"ceta",NA,NA,1.399863498,0.562772669,1626.394294,0.001099515,0.00960546703055425,0.318263398476379
