Annual_measure,SD_of_measure,Use1_0,Name,Units,Description,Region,Time_period,Source
28.91318,14.45659,1,Obs_NDJF_d_nitrate,mMN/m3,Average_winter_(Nov-Feb)_nitrate_conc_deep_layer,Senegal-Gambia,2013-2019,World Ocean Atlas
28.91318,14.45659,1,Obs_MJJA_d_nitrate,mMN/m3,Average_summer_(May-Aug)_nitrate_conc_deep_layer,Senegal-Gambia,2013-2019,World Ocean Atlas
NA,NA,0,Obs_NDJF_s_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_shallow_layer,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_MJJA_s_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_shallow_layer,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_NDJF_d_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_deep_layer,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_MJJA_d_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_deep_layer,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_carn_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_carnzoo_depth_av_conc,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_omni_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_omnivzoo_depth_av_conc,Senegal-Gambia,NA,Insufficient_data
1.489721871,0.744860936,0,Obs_phyt_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc,Senegal-Gambia,2010-2019,Remote sensing satellite data assuming Redfield and C_chl 20
NA,NA,0,Obs_nit_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_amm_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_pfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m3,Senegal-Gambia,NA,Insufficient_data
NA,NA,0,Obs_dfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m3,Senegal-Gambia,NA,Insufficient_data
0.000944,0.000708,1,Obs_birddisc,mMN/m2/y,Annual_bycatch_of_birds,Senegal-Gambia,2010-2015,Upscaled_from_Cape_Verde_data_Montrond_2020
NA,NA,0,Obs_sealdisc,mMN/m2/y,Annual_bycatch_of_pinnipeds,Senegal-Gambia,NA,No_pinnipeds_in_Senegal
0,0,0,Obs_cetadisc,mMN/m2/y,Annual_bycatch_of_cetaceans,Senegal-Gambia,NA,No_evidence_of_bycatch
0.15,0.05,1,Obs_kelp_beachcast,dimensionless,Proportion_of_macrophyte_annual_nitrogen_uptake_exported_as_beachcast,General_value,NA,Zemke_White_et_al_2005
0,0,0,Obs_Ctland_livewt,mMN/m2/y,Obs_cetacean_landings_by_whale_hunters,Senegal-Gambia,NA,No_whale_hunting_in_Senegal
