"consumer","Cumax","Cddexud","Numax","Nhsat","BdeApar","ddmort","migration_coef","max_exploitable_f"
"kelp",0.0263217706488683,1.68853609804641e-08,0.00920612979107812,15.7100270103669,NA,3.16310983301259e-08,NA,0.0390496962337079
"phyt_s",NA,NA,3.22436339404589,4.4846797920892,NA,0.0509571247093014,NA,NA
"phyt_d",NA,NA,NA,NA,NA,0.0615544865459668,NA,NA
"omnivzoo",NA,NA,2.1478512631916,3.18960685805075,NA,3.27042424402941e-05,NA,NA
"carnzoo",NA,NA,0.15039978069132,1.05135255088535,NA,0.000199866801321878,NA,0.00373527075643768
"fishplar",NA,NA,0.314543863657987,7.06896644783973,NA,4.18416367574662e-06,NA,NA
"fishdlar",NA,NA,0.206038945140777,2.28320330934852,NA,5.68376447060265e-07,NA,NA
"fishp",NA,NA,0.106680136194236,2.06053487944788,NA,3.07223739161321e-05,0.00166462519181592,0.72756715194193
"fishm",NA,NA,0.0317341425723433,2.53173503133345,NA,1.69636199401547e-06,4.03489099432375e-05,0.742439067714999
"fishd",NA,NA,0.0105586540743239,0.558792162981551,NA,0.000160440307935671,0.00194014232065161,0.998964511656849
"benthslar",NA,NA,0.33759887378063,1.0108563453156,NA,1.00781230849376e-05,NA,NA
"benthclar",NA,NA,0.756556474831004,2.69380955476203,NA,2.50388927496881e-07,NA,NA
"benths",NA,NA,0.652483311740252,1.73749132764082,NA,0.000384843488920093,NA,0.0312256276533415
"benthc",NA,NA,0.0298456968117925,9.64786912298147,NA,0.00037245431879794,NA,0.134886162891433
"bird",NA,NA,0.773200922,0.648890835,4531.587566,0.044349683,0.00970784367659768,0.09779753000751
"seal",NA,NA,0.39314896,0.903572943,479.5604219,0.005161599,0.00972440896608101,0.0854356606903038
"ceta",NA,NA,0.595023252,0.407813501,1011.296504,0.000958546,0.00999851979056559,0.313817648557016
